tier,field,subfield,subject,question,category,answer,source,question_no,
,advanced,Linguistics,Branches,Historical Linguistics,What is the relationship between linguistic typolo...,Linguistics > Branches,Linguistic typology and linguistic change are two ...,Proceedings of the International Conference on Lin...,19
,intermediate,Cultural Studies,Topics,Cultural Memory,How do cultural memories of colonialism and imperi...,Cultural Studies > Topics,Cultural memories of colonialism and imperialism s...,"'Cultural Studies Handbook: Topics' (CRC Press, 20...",20
,advanced,Linguistics,Branches,Phonology,"What is the relationship between the notion of ""di""...",Linguistics > Branches,"In generative phonology, the notions of ""distincti""...",Linguistics Research Symposium Proceedings (2024),21
,advanced,Literature,Genres,Magical Realism,How do the blending of the mundane and the fantast...,Literature > Genres,"Magical Realism, as a literary genre, blends the m...",Nature.com - Advanced Genres Course (2020),22
,intermediate,Literature,Authors,Fitzgerald,"What is the significance of the ""green light"" in T...",Literature > Authors,"The ""green light"" in F. Scott Fitzgerald's ""The Gr""...",Literature Research Symposium Proceedings (2015),23
,beginner,History,Ancient History,Indus Valley Civilization,What was the significance of the urban planning an...,History > Ancient History,"The Indus Valley Civilization, which flourished fr...",History Professional Journal (2019),24
,advanced,Art Criticism,Topics,Contemporary Art Criticism,"How do the notions of ""the avant-garde"" and ""posti""...",Art Criticism > Topics,"The notions of ""the avant-garde"" and ""postinternet""...",Tech Insights Blog: Topics Deep Dive (2024),25
,advanced,Religious Studies,Topics,Religion and Society,What is the relationship between ritual and identi...,Religious Studies > Topics,Ritual and identity are deeply interconnected in r...,Proceedings of the International Conference on Rel...,26
,advanced,Art Criticism,Topics,Visual Perception,"How do the principles of Gestalt psychology, speci...",Art Criticism > Topics,"Gestalt psychology, with its principles of proximi...",Art Criticism Research Symposium Proceedings (2024...,27
,intermediate,Literature,Genres,Novels,What is the primary distinction between the Gothic...,Literature > Genres,The primary distinction between the Gothic novel a...,Literature Insights Webinar Series (2016),28
,intermediate,Linguistics,Branches,Psycholinguistics,"How does the concept of grammatical priming, as de...",Linguistics > Branches,"The concept of grammatical priming, as described b...",Tech Insights Blog: Branches Deep Dive (2017),29
,beginner,Art Criticism,Artists,Kandinsky,What is the relationship between the emotional and...,Art Criticism > Artists,"In abstract painting, the emotional and sensory el...",Art Criticism Research Symposium Proceedings (2023...,30
,intermediate,Computer Science,Programming,Scala,"How would you design and implement a type-safe, im...",Computer Science > Programming,"Designing and implementing a type-safe, immutable,...",Proceedings of the International Conference on Com...,31
,advanced,Computer Science,Web Development,HTML/CSS,What is the most efficient way to structure a comp...,Computer Science > Web Development,The most efficient way to structure a complex HTML document with multiple nested sections is to employ a semantic and logical hierarchy using appropri...,Tech Insights Blog: Web Development Deep Dive (201...,32
,advanced,Cultural Studies,Cultural Theory,Semiotics,"What is the relationship between the concept of ""s""...",Cultural Studies > Cultural Theory,"In Saussurean semiotics, the relationship between ...",Proceedings of the International Conference on Cul...,33
,advanced,Political Science,Global Politics,Human Rights,What is the relationship between economic globaliz...,Political Science > Global Politics,"Economic globalization, characterized by the incre...",Political Science Industry Trends Report (2024),34
,beginner,Art Criticism,Topics,Art Analysis,What is the primary difference between formalism a...,Art Criticism > Topics,Formalism and Expressionism are two significant ap...,Journal of Art Criticism Studies (2023),35
,beginner,Economics,Macroeconomics,Exchange Rates,What is the relationship between exchange rates an...,Economics > Macroeconomics,"Sure, I'd be happy to help! Here's a clear and con...",Journal of Economics Studies (2021),36
,beginner,Computer Science,DevOps,Serverless Architecture,What are the key benefits and trade-offs of using ...,Computer Science > DevOps,"Serverless Architecture, monolithic architecture, ...",Proceedings of the International Conference on Com...,37
,intermediate,Economics,Development Economics,Poverty,What is the relationship between poverty traps and...,Economics > Development Economics,Poverty traps and the concept of multiple equilibr...,"Interview with Economics expert, 2022",38
,advanced,Computer Science,Databases,Big Data,"Here is the question:\n\n""Design a distributed arc""...",Computer Science > Databases,Introduction:\nA distributed architecture for a re...,Computer Science Insights Webinar Series (2024),39
,intermediate,Religious Studies,World Religions,Christianity,How do the concepts of salvation and justification...,Religious Studies > World Religions,"In Christian theology, the concepts of salvation a...","Interview with Religious Studies expert, 2016",40
,intermediate,Religious Studies,Topics,Religious Fundamentalism,How do religious fundamentalist beliefs and practi...,Religious Studies > Topics,Religious fundamentalist beliefs and practices sig...,Religious Studies Professional Journal (2018),41
,advanced,Sociology,Theories,Postmodernism,"What is the significance of the ""death of the auth""...",Sociology > Theories,"The ""death of the author"" is a concept introduced ...",Sociology Professional Journal (2015),42
,intermediate,Computer Science,Cybersecurity,Vulnerability Assessment,Can you describe a scenario where a vulnerability ...,Computer Science > Cybersecurity,"Sure, I'd be happy to answer that question.\n\nA v...",Computer Science Professional Journal (2017),43
,intermediate,Literature,Genres,Thriller,What role do the elements of suspense and the unre...,Literature > Genres,Suspense and an unreliable narrator are crucial el...,Nature.com - Advanced Genres Course (2020),44
,advanced,Philosophy,Philosophical Movements,Structuralism,What is the relationship between the structuralist...,Philosophy > Philosophical Movements,"The relationship between structuralism and the ""de""...",Philosophy Industry Trends Report (2022),45
,intermediate,Computer Science,DevOps,Continuous Integration,What are the primary benefits of implementing Cont...,Computer Science > DevOps,Continuous Integration (CI) is a software developm...,"'Computer Science Handbook: DevOps' (Pearson, 2018...",46
,beginner,History,Regional History,African History,"What role did the concept of ""Africa as a continen""...",History > Regional History,"The concept of ""Africa as a continent"" played a si...",arXiv.org - Advanced Regional History Course (2024...,47
,beginner,Cultural Studies,Cultural Theory,Disability Studies,How do the concepts of social model and medical mo...,Cultural Studies > Cultural Theory,The social model and medical model of disability a...,ScienceDirect.com - Advanced Cultural Theory Cours...,48
,advanced,Political Science,Theories,Political Economy,What is the primary mechanism by which neoliberal ...,Political Science > Theories,"Neoliberal globalization, characterized by the der...",Political Science Insights Webinar Series (2016),49
,intermediate,Art Criticism,Art Movements,Impressionism,What is the primary way in which Impressionist art...,Art Criticism > Art Movements,"Impressionist artists, like Claude Monet and Pierr...",Art Criticism Professional Journal (2021),50
,advanced,Mathematics,Branches,Algebra,Suppose we have a non-constant polynomial equation...,Mathematics > Branches,Statement: If we have a non-constant polynomial eq...,"Interview with Mathematics expert, 2019",51
,beginner,Computer Science,Game Development,Game Marketing,What are the key differences between player retent...,Computer Science > Game Development,Player retention and player engagement are two cru...,Nature.com - Advanced Game Development Course (201...,52
,intermediate,Computer Science,Cybersecurity,Firewall Configuration,What is the primary consideration when configuring...,Computer Science > Cybersecurity,When configuring a firewall to allow incoming traf...,"Interview with Computer Science expert, 2019",53
,advanced,Literature,Authors,Dickens,How do the themes of social class and morality in ...,Literature > Authors,"In Charles Dickens' works, the themes of social cl...","Interview with Literature expert, 2019",54
,intermediate,Art Criticism,Artists,Warhol,How did your fascination with the banality and ubi...,Art Criticism > Artists,My fascination with the banality and ubiquity of c...,Proceedings of the International Conference on Art...,55
,advanced,Computer Science,Data Structures,Skip Lists,How can you optimize the height of a Skip List to ...,Computer Science > Data Structures,"To optimize the height of a Skip List for search, ...",'Computer Science Handbook: Data Structures' (CRC ...,56
,beginner,Mathematics,Branches,Calculus,What is the meaning of the derivative of a functio...,Mathematics > Branches,"Sure, I'd be happy to help explain the concept of ...","Interview with Mathematics expert, 2015",57
,beginner,Computer Science,Game Development,Augmented Reality,What are the key differences between marker-based ...,Computer Science > Game Development,Augmented Reality (AR) tracking is the process of ...,"Interview with Computer Science expert, 2017",58
,intermediate,Literature,Authors,Woolf,How does Woolf's exploration of the human experien...,Literature > Authors,"Virginia Woolf's ""Mrs. Dalloway"" challenges tradit...","'Literature Handbook: Authors' (Wiley, 2018)",59
,intermediate,Literature,Authors,Orwell,"How does the concept of surveillance and control, ...",Literature > Authors,The concept of surveillance and control in my work...,Literature Industry Trends Report (2015),60
,advanced,Philosophy,Philosophical Movements,Phenomenology,"How does the concept of ""bracketing"" (Einfühlung) ...",Philosophy > Philosophical Movements,"The concept of ""bracketing"" or Einfühlung in Husse...",Proceedings of the International Conference on Phi...,61
,intermediate,Computer Science,Programming,C#,What is the most efficient way to implement a cust...,Computer Science > Programming,To implement a custom `IComparable<T>` interface f...,Proceedings of the International Conference on Com...,62
,beginner,Economics,Econometrics,Forecasting,What are the key assumptions underlying the concep...,Economics > Econometrics,The Exponentially Weighted Moving Average (EWMA) i...,"Interview with Economics expert, 2015",63
,beginner,Sociology,Topics,Socialization,What is the relationship between socialization and...,Sociology > Topics,Socialization is the process through which individ...,Proceedings of the International Conference on Soc...,64
,advanced,Art Criticism,Art Movements,Baroque,How does the use of chiaroscuro and tenebrism in C...,Art Criticism > Art Movements,"Caravaggio, a pioneering figure of the Baroque per...",'Art Criticism Handbook: Art Movements' (Cambridge...,65
,intermediate,Literature,Periods,Modernism,How does the concept of fragmentation in Modernist...,Literature > Periods,The concept of fragmentation in Modernist literatu...,Literature Research Symposium Proceedings (2022),66
,beginner,Psychology,Branches,Social Psychology,How do the concepts of implicit bias and stereotyp...,Psychology > Branches,Implicit bias and stereotype threat are two key co...,Psychology Professional Journal (2015),67
,intermediate,Computer Science,Web Development,Content Management Systems,What is the primary difference between a headless ...,Computer Science > Web Development,A headless CMS is a content management system that...,Computer Science Research Symposium Proceedings (2...,68
,advanced,Cultural Studies,Subcultures,Digital Culture,What is the relationship between subcultural capit...,Cultural Studies > Subcultures,"Subcultural capital refers to the knowledge, skill...",'Cultural Studies Handbook: Subcultures' (O'Reilly...,69
,advanced,Computer Science,DevOps,Cloud Computing,What is the primary benefit of using a service mes...,Computer Science > DevOps,The primary benefit of using a service mesh in a c...,MIT OpenCourseWare - Advanced DevOps Course (2024),70
,intermediate,Philosophy,Branches,Logic,Can a formal system be said to be logically consis...,Philosophy > Branches,A formal system cannot be said to be logically con...,"'Philosophy Handbook: Branches' (McGraw-Hill, 2019...",71
,intermediate,Computer Science,Data Structures,Linked Lists,What is the time complexity of reversing a linked ...,Computer Science > Data Structures,The time complexity of reversing a linked list in ...,'Computer Science Handbook: Data Structures' (Camb...,72
,intermediate,Computer Science,Algorithms,Mathematical Algorithms,What is the time complexity of the following algor...,Computer Science > Algorithms,The time complexity of the given algorithm for fin...,MIT OpenCourseWare - Advanced Algorithms Course (2...,73
,advanced,Computer Science,Game Development,Multiplayer Games,How would you design a matchmaking algorithm for a...,Computer Science > Game Development,Designing a matchmaking algorithm for a large-scal...,Computer Science Professional Journal (2020),74
,advanced,History,Regional History,American History,"How did the concept of Manifest Destiny, as articu...",History > Regional History,"The concept of Manifest Destiny, as articulated by...",History Research Symposium Proceedings (2017),75
,advanced,Computer Science,Web Development,Progressive Web Apps,How do you optimize the performance of a Progressi...,Computer Science > Web Development,Optimizing the performance of a Progressive Web Ap...,Journal of Computer Science Studies (2017),76
,beginner,Religious Studies,World Religions,New Religious Movements,How do the core values and beliefs of a New Religi...,Religious Studies > World Religions,New Religious Movements (NRMs) are religious or sp...,Religious Studies Insights Webinar Series (2020),77
,advanced,Philosophy,Philosophers,Sartre,"How do you reconcile the notion of human freedom, ...",Philosophy > Philosophers,The question addresses the reconciliation of human...,Philosophy Industry Trends Report (2018),78
,intermediate,Computer Science,Data Structures,Tries,What is the time complexity of a trie-based autoco...,Computer Science > Data Structures,The time complexity of a trie-based autocomplete a...,Computer Science Professional Journal (2024),79
,intermediate,Literature,Periods,Enlightenment,"What is the significance of the concept of ""enligh""...",Literature > Periods,"The concept of ""enlightenment"" in the 18th century...",Literature Research Symposium Proceedings (2019),80
,advanced,Religious Studies,World Religions,Zoroastrianism,What is the relationship between Ahura Mazda as th...,Religious Studies > World Religions,"Ahura Mazda, as the supreme deity in Zoroastrianis...",Religious Studies Industry Trends Report (2017),81
,intermediate,Computer Science,Machine Learning,Transfer Learning,What are the key differences and similarities betw...,Computer Science > Machine Learning,"Sure, I'd be happy to help with that!\n\nWhen it c...",Tech Insights Blog: Machine Learning Deep Dive (20...,82
,beginner,Art Criticism,Topics,Public Art,What role do you think public art should play in f...,Art Criticism > Topics,Public art can play a significant role in fosterin...,Art Criticism Professional Journal (2016),83
,intermediate,Psychology,Theories,Freud's Psychoanalysis,What is the role of repression in the development ...,Psychology > Theories,"According to Sigmund Freud, repression is a fundam...",MIT OpenCourseWare - Advanced Theories Course (202...,84
,intermediate,Computer Science,Cybersecurity,Risk Assessment,What is the primary difference between a quantitat...,Computer Science > Cybersecurity,A quantitative risk assessment involves assigning ...,"Interview with Computer Science expert, 2015",85
,advanced,Political Science,Branches,Political Economy,"How do institutional frameworks of globalization, ...",Political Science > Branches,"Institutional frameworks of globalization, such as...",Political Science Research Symposium Proceedings (...,86
,intermediate,Sociology,Topics,Deviance,What is the relationship between social control an...,Sociology > Topics,Social control refers to the methods and mechanism...,Sociology Professional Journal (2015),87
,intermediate,Computer Science,Web Development,JavaScript Frameworks,When implementing a complex UI component in a Java...,Computer Science > Web Development,When implementing a complex UI component in a Java...,Computer Science Industry Trends Report (2018),88
,intermediate,Cultural Studies,Subcultures,Fashion Studies,What role do you think fashion plays in shaping an...,Cultural Studies > Subcultures,Fashion plays a significant role in shaping and re...,Journal of Cultural Studies Studies (2023),89
,beginner,Literature,Authors,Dickens,How do you think Dickens' portrayal of social clas...,Literature > Authors,"Charles Dickens, a prominent English author from t...",Tech Insights Blog: Authors Deep Dive (2020),90
,intermediate,Art Criticism,Art Movements,Surrealism,"How does the concept of the ""uncanny"" in Surrealis...",Art Criticism > Art Movements,The uncanny in Surrealist art refers to the famili...,Art Criticism Professional Journal (2016),91
,intermediate,Literature,Literary Criticism,Formalism,How do you think Formalism's emphasis on the text'...,Literature > Literary Criticism,Formalism is a literary theory that emphasizes the...,ACM.org - Advanced Literary Criticism Course (2023...,92
,intermediate,Cultural Studies,Subcultures,Hip Hop Culture,"What is the relationship between the concept of ""a""...",Cultural Studies > Subcultures,The concept of authenticity in Hip Hop culture is ...,"Interview with Cultural Studies expert, 2016",93
,beginner,Cultural Studies,Topics,Transculturalism,What is the relationship between cultural identity...,Cultural Studies > Topics,Cultural identity refers to the feeling of belongi...,"Interview with Cultural Studies expert, 2023",94
,intermediate,Political Science,Branches,Political Psychology,How do the psychological biases and cognitive heur...,Political Science > Branches,"Psychological biases and cognitive heuristics, suc...",Proceedings of the International Conference on Pol...,95
,intermediate,Environmental Science,Fields,Ecological Restoration,"What is the primary limitation of using a ""species""...",Environmental Science > Fields,"The primary limitation of using a ""species-based"" ...",'Environmental Science Handbook: Fields' (Elsevier...,96
,beginner,Literature,Genres,Non-Fiction,What is the primary distinction between a memoir a...,Literature > Genres,A memoir and a personal essay are both forms of cr...,"'Literature Handbook: Genres' (McGraw-Hill, 2024)",97
,beginner,Philosophy,Philosophical Movements,Phenomenology,How do you reconcile the idea ofBracketing (Epoche...,Philosophy > Philosophical Movements,"Bracketing, or Epoche, is a crucial step in phenom...",'Philosophy Handbook: Philosophical Movements' (MI...,98
,intermediate,Political Science,Theories,Idealism,What is the relationship between the notion of the...,Political Science > Theories,"The notion of the ""Absolute"" in German Idealism, p...","'Political Science Handbook: Theories' (Pearson, 2...",99
,intermediate,Political Science,Branches,Public Policy,What is the relationship between the concept of di...,Political Science > Branches,Distributive justice is a concept that refers to t...,"'Political Science Handbook: Branches' (Wiley, 202...",100
,intermediate,Sociology,Applied Sociology,Sociology of Education,How do you think the concept of social reproductio...,Sociology > Applied Sociology,"Pierre Bourdieu, a renowned French sociologist, in...",Sociology Professional Journal (2024),101
,advanced,Literature,Genres,Mystery,"What is the relationship between the concept of ""t""...",Literature > Genres,"The concept of ""the uncanny"" is closely related to...","'Literature Handbook: Genres' (Wiley, 2023)",102
,intermediate,Art Criticism,Art Movements,Baroque,What is the primary tension between the artistic a...,Art Criticism > Art Movements,The primary tension between the artistic and music...,Art Criticism Research Symposium Proceedings (2019...,103
,intermediate,Linguistics,Branches,Pragmatics,What is the relationship between implicature and p...,Linguistics > Branches,Implicature and presupposition are both crucial co...,Tech Insights Blog: Branches Deep Dive (2024),104
,intermediate,Computer Science,Machine Learning,Autoencoders,What is the relationship between the latent space ...,Computer Science > Machine Learning,The relationship between the latent space dimensio...,Tech Insights Blog: Machine Learning Deep Dive (20...,105
,advanced,Linguistics,Branches,Pragmatics,What is the relationship between implicature and c...,Linguistics > Branches,The relationship between implicature and the coope...,Linguistics Professional Journal (2016),106
,intermediate,Mathematics,Branches,Mathematical Logic,What are the essential differences between the com...,Mathematics > Branches,The completeness and compactness theorems are fund...,Proceedings of the International Conference on Mat...,107
,advanced,Computer Science,Cybersecurity,Intrusion Detection Systems,What is the primary difference between a signature...,Computer Science > Cybersecurity,Intrusion Detection Systems (IDS) are essential co...,Computer Science Industry Trends Report (2017),108
,beginner,Psychology,Branches,Behavioral Psychology,What is the primary mechanism by which classical c...,Psychology > Branches,Classical conditioning is a learning process where...,Journal of Psychology Studies (2022),109
,intermediate,History,Modern History,Technology and Society,How do you think the introduction of the internet ...,History > Modern History,The introduction of the internet has significantly...,History Research Symposium Proceedings (2019),110
,intermediate,Computer Science,Game Development,Game Monetization,What monetization strategy would you propose for a...,Computer Science > Game Development,A successful monetization strategy for a MOBA game...,Computer Science Industry Trends Report (2024),111
,beginner,Computer Science,Algorithms,Divide and Conquer,Consider a sorting algorithm that uses Divide and ...,Computer Science > Algorithms,A sorting algorithm that uses Divide and Conquer t...,Coursera.org - Advanced Algorithms Course (2016),112
,advanced,Environmental Science,Topics,Green Technology,"What role do you think the concept of ""techno-fixe""...",Environmental Science > Topics,"The concept of ""techno-fixes"" refers to the use of...",Tech Insights Blog: Topics Deep Dive (2018),113
,advanced,History,Regional History,European History,"How did the concept of ""Modernization"" as a social...",History > Regional History,"The concept of ""Modernization"" in the 18th century...","Interview with History expert, 2016",114
,beginner,Philosophy,Branches,Logic,What is the relationship between the law of non-co...,Philosophy > Branches,The law of non-contradiction and the concept of id...,Proceedings of the International Conference on Phi...,115
,beginner,Computer Science,Databases,Columnar Databases,What are the main trade-offs between columnar and ...,Computer Science > Databases,Analyzing the trade-offs between columnar and row-...,Computer Science Professional Journal (2019),116
,advanced,Literature,Periods,Baroque Literature,"How does the use of irony, particularly in the wor...",Literature > Periods,"The Baroque era, spanning the 17th and early 18th ...",Tech Insights Blog: Periods Deep Dive (2023),117
,advanced,Computer Science,Game Development,Augmented Reality,What are the key differences between marker-based ...,Computer Science > Game Development,Augmented Reality (AR) tracking approaches can be ...,"Interview with Computer Science expert, 2016",118
,advanced,Sociology,Topics,Urban Sociology,What are the implications of the spatialization of...,Sociology > Topics,The spatialization of social inequality refers to ...,Tech Insights Blog: Topics Deep Dive (2016),119
,advanced,Mathematics,Branches,Number Theory,What is the relationship between the distribution ...,Mathematics > Branches,The distribution of prime numbers is intimately re...,Journal of Mathematics Studies (2024),120
,advanced,Mathematics,Theories,Topology,What is the relationship between the fundamental g...,Mathematics > Theories,The fundamental group and homology groups of a top...,"'Mathematics Handbook: Theories' (O'Reilly, 2024)",121
,advanced,Computer Science,Databases,Normalization,"What are the key limitations of normalization, and...",Computer Science > Databases,Normalization is a fundamental technique in databa...,Tech Insights Blog: Databases Deep Dive (2019),122
,intermediate,Literature,Authors,Shakespeare,"How do you think the concept of dramatic irony, as...",Literature > Authors,Dramatic irony is a literary device where the audi...,Tech Insights Blog: Authors Deep Dive (2022),123
,intermediate,Art Criticism,Topics,Museum Studies,How do you think the concept of cultural heritage ...,Art Criticism > Topics,The concept of cultural heritage is negotiated and...,Tech Insights Blog: Topics Deep Dive (2016),124
,beginner,Computer Science,Cybersecurity,Risk Assessment,What is the primary difference between a qualitati...,Computer Science > Cybersecurity,"A risk assessment is a process used to identify, e...",'Computer Science Handbook: Cybersecurity' (CRC Pr...,125
,beginner,Literature,Genres,Epic,What is the primary distinction between a genre an...,Literature > Genres,A genre is a category of literature that shares si...,"Interview with Literature expert, 2019",126
,intermediate,Political Science,Theories,Feminism,"How do you think the concept of intersectionality,...",Political Science > Theories,"Intersectionality, as developed by Kimberlé Crensh...",Political Science Industry Trends Report (2015),127
,beginner,Political Science,Global Politics,Globalization,What are the key benefits and drawbacks of adoptin...,Political Science > Global Politics,Title: Protectionism vs Globalization: Key Benefit...,Journal of Political Science Studies (2018),128
,beginner,Environmental Science,Topics,Ecology,What is the primary mechanism by which a populatio...,Environmental Science > Topics,The primary mechanism by which a population's grow...,Journal of Environmental Science Studies (2020),129
,beginner,Economics,Microeconomics,Consumer Theory,What is the difference between a normal good and a...,Economics > Microeconomics,A normal good and an inferior good are two categor...,Economics Industry Trends Report (2022),130
,advanced,Computer Science,Web Development,APIs,"When designing an API, how do you balance the trad...",Computer Science > Web Development,Designing an API that balances the trade-off betwe...,Computer Science Industry Trends Report (2020),131
,intermediate,Philosophy,Branches,Philosophy of Language,Can a sentence that is grammatically correct but s...,Philosophy > Branches,"While a sentence can be grammatically correct, it ...",Journal of Philosophy Studies (2018),132
,beginner,Linguistics,Language Families,Dravidian,What are the key similarities and differences betw...,Linguistics > Language Families,The consonant systems of Proto-Dravidian and Proto...,Tech Insights Blog: Language Families Deep Dive (2...,133
,intermediate,Religious Studies,Topics,Interfaith Dialogue,"How do you think the concept of ""sacred"" or ""holy""...",Religious Studies > Topics,"The concept of ""sacred"" or ""holy"" is a fundamental...",Proceedings of the International Conference on Rel...,134
,advanced,Linguistics,Language Families,Turkic,What are the primary structural and phonological f...,Linguistics > Language Families,"Turkic languages, a language family spoken primari...",Linguistics Research Symposium Proceedings (2019),135
,advanced,Computer Science,Game Development,Game Monetization,How would you design a dynamic pricing system for ...,Computer Science > Game Development,Designing a dynamic pricing system for in-game ite...,Computer Science Professional Journal (2020),136
,advanced,Computer Science,Databases,Transactions,Consider a banking system where multiple accounts ...,Computer Science > Databases,The scenario you've described involves a bank acco...,Computer Science Industry Trends Report (2020),137
,beginner,Economics,Development Economics,Globalization,What is the primary mechanism through which global...,Economics > Development Economics,Globalization is the process of interaction and in...,Tech Insights Blog: Development Economics Deep Div...,138
,intermediate,Philosophy,Branches,Aesthetics,"How do the concepts of beauty and taste, as discus...",Philosophy > Branches,"In the Critique of Judgment, Immanuel Kant discuss...",edX.org - Advanced Branches Course (2019),139
,beginner,Cultural Studies,Topics,Postcolonialism,"How do you think the concept of ""othering"" as desc...",Cultural Studies > Topics,"The concept of ""othering,"" as described by Edward ...",Tech Insights Blog: Topics Deep Dive (2020),140
,beginner,Computer Science,Game Development,Graphics Programming,What is the primary difference between a vertex sh...,Computer Science > Game Development,Vertex Shaders and Fragment Shaders are two key co...,Computer Science Professional Journal (2022),141
,intermediate,Psychology,Theories,Gestalt Psychology,How do Gestalt psychologists reconcile the idea of...,Psychology > Theories,Gestalt psychologists reconcile the idea of figure...,"'Psychology Handbook: Theories' (CRC Press, 2022)",142
,advanced,Cultural Studies,Subcultures,Consumer Culture,What is the relationship between consumer culture ...,Cultural Studies > Subcultures,The relationship between consumer culture and the ...,'Cultural Studies Handbook: Subcultures' (Oxford U...,143
,beginner,Computer Science,Game Development,Game Monetization,What are some potential trade-offs between impleme...,Computer Science > Game Development,Implementing a monetization model in a game can be...,Computer Science Research Symposium Proceedings (2...,144
,beginner,Art Criticism,Art Movements,Renaissance,What is the primary difference between the formali...,Art Criticism > Art Movements,The primary difference between the formalist and e...,arXiv.org - Advanced Art Movements Course (2022),145
,beginner,Computer Science,Web Development,Web Performance Optimization,What is the primary concern when using JavaScript ...,Computer Science > Web Development,The primary concern when using JavaScript librarie...,Computer Science Research Symposium Proceedings (2...,146
,intermediate,Linguistics,Branches,Sociolinguistics,How do the concepts of indexicality and performati...,Linguistics > Branches,Indexicality and performativity are two crucial co...,Tech Insights Blog: Branches Deep Dive (2018),147
,intermediate,Sociology,Topics,Rural Sociology,"How do you think the concept of ""community"" in rur...",Sociology > Topics,"The concept of ""community"" in rural sociology has ...",Tech Insights Blog: Topics Deep Dive (2024),148
,beginner,Sociology,Theories,Interactionist Theory,How do social interactions and communication shape...,Sociology > Theories,Social interactions and communication play a signi...,Sociology Insights Webinar Series (2022),149
,beginner,Philosophy,Philosophers,Kant,What is the relationship between the categorical i...,Philosophy > Philosophers,The Categorical Imperative and moral autonomy are ...,Philosophy Insights Webinar Series (2022),150
,advanced,Sociology,Applied Sociology,Sociology of Education,"How do the power dynamics between teachers, admini...",Sociology > Applied Sociology,"The power dynamics between teachers, administrator...",Sociology Industry Trends Report (2018),151
,beginner,Mathematics,Theories,Complex Analysis,What is the relationship between the set of zeros ...,Mathematics > Theories,The set of zeros and the set of poles of a non-con...,Mathematics Research Symposium Proceedings (2017),152
